what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1282871204734
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282871205593
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871207671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282871210687
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871220484
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871222515
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871227015
activated,view,org.python.pydev,1.6.1.2010080312,"org.python.pydev.navigator.view",1282871233906
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1282871237031
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871256703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1282871260328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871261421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871262671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1282871264031
activated,view,org.python.pydev,1.6.1.2010080312,"org.python.pydev.navigator.view",1282871275015
activated,editor,org.python.pydev,1.6.1.2010080312,"org.python.pydev.editor.PythonEditor",1282871289765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871292703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871293671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871293687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871305125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871311125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871311953
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282871312593
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1282871314671
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1282871314671
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1282871314671
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1282871314671
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1282871314671
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1282871314671
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1282871314671
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1282871314671
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1282871314671
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1282871314671
stopped,bundle,com.python.pydev.codecompletion,1.6.1.2010080312,"com.python.pydev.codecompletion",1282871314671
stopped,bundle,com.python.pydev.refactoring,1.6.1.2010080312,"com.python.pydev.refactoring",1282871314671
stopped,bundle,com.python.pydev.analysis,1.6.1.2010080312,"com.python.pydev.analysis",1282871314671
stopped,bundle,com.python.pydev.debug,1.6.1.2010080312,"com.python.pydev.debug",1282871314687
stopped,bundle,com.python.pydev.fastparser,1.6.1.2010080312,"com.python.pydev.fastparser",1282871314687
stopped,bundle,com.python.pydev,1.6.1.2010080312,"com.python.pydev",1282871314687
stopped,bundle,org.python.pydev.django,1.6.1.2010080312,"org.python.pydev.django",1282871314687
stopped,bundle,org.python.pydev.customizations,1.6.1.2010080312,"org.python.pydev.customizations",1282871314687
stopped,bundle,org.python.pydev.debug,1.6.1.2010080312,"org.python.pydev.debug",1282871314687
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1282871314687
stopped,bundle,org.python.pydev.red_core,1.6.1.2010080312,"org.python.pydev.red_core",1282871314687
stopped,bundle,org.python.pydev.refactoring,1.6.1.2010080312,"org.python.pydev.refactoring",1282871314687
stopped,bundle,org.python.pydev,1.6.1.2010080312,"org.python.pydev",1282871314718
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1282871314750
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1282871314750
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1282871314750
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1282871314750
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1282871314781
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1282871314781
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1282871314781
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282871314781
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1282871314781
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1282871314781
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1282871314781
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.resources.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.help.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100804-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1282871314781
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1282871314781
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1282871314781
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1282871314781
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1282871314781
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1282871314781
stopped,bundle,org.python.pydev.jython,1.6.1.2010080312,"org.python.pydev.jython",1282871314781
stopped,bundle,org.python.pydev.parser,1.6.1.2010080312,"org.python.pydev.parser",1282871314796
stopped,bundle,org.python.pydev.core,1.6.1.2010080312,"org.python.pydev.core",1282871314796
