what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261041015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261183156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261185359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261185359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261185421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261691843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261693281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261693281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261693375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261871875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306261873656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262371000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262386578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262386578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262386937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262440093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262441187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262441187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262441312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262452359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262454062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262470968
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306262477265
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306262480937
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306262481468
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306262486468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262506421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262507906
error,log,,,"No message gotten.",1306262509625
error,log,,,"No message gotten.",1306262509703
error,log,,,"No message gotten.",1306262509781
error,log,,,"No message gotten.",1306262509859
error,log,,,"No message gotten.",1306262509906
error,log,,,"No message gotten.",1306262509984
error,log,,,"No message gotten.",1306262510046
error,log,,,"No message gotten.",1306262510125
error,log,,,"No message gotten.",1306262510187
error,log,,,"No message gotten.",1306262510281
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306262510312
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1306262511296
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1306262512203
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1306262512203
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1306262512203
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1306262512203
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1306262512203
